Código IBGE;Ano;Município;Masculino;Feminino;Ignorado;Nascidos vivos;População 2021
3535200;2021;Palmeira d'Oeste;36;43;0;79;9.092
3535309;2021;Palmital;91;119;0;210;21.609
3535408;2021;Panorama;100;82;0;182;15.253
3535507;2021;Paraguaçu Paulista;234;242;0;476;44.310
3535606;2021;Paraibuna;111;98;0;209;18.304
3535705;2021;Paraíso;25;31;0;56;6.293
3535804;2021;Paranapanema;137;132;0;269;20.151
3535903;2021;Paranapuã;26;31;0;57;3.895
3536000;2021;Parapuã;54;49;0;103;10.473
3536109;2021;Pardinho;30;50;0;80;6.467
3536208;2021;Pariquera-Açu;129;123;0;252;19.311
3536257;2021;Parisi;13;16;0;29;2.053
3536307;2021;Patrocínio Paulista;101;95;0;196;14.592
3536406;2021;Paulicéia;50;61;0;111;7.213
3536505;2021;Paulínia;696;629;0;1.325;106.781
3536570;2021;Paulistânia;14;8;0;22;1.769
3536604;2021;Paulo de Faria;34;33;0;67;8.520
3536703;2021;Pederneiras;267;253;0;520;45.877
3536802;2021;Pedra Bela;38;32;0;70;5.974
3536901;2021;Pedranópolis;10;16;0;26;2.412
3537008;2021;Pedregulho;103;85;0;188;16.319
3537107;2021;Pedreira;234;228;0;462;46.908
3537156;2021;Pedrinhas Paulista;10;10;0;20;3.015
3537206;2021;Pedro de Toledo;45;39;0;84;11.055
3537305;2021;Penápolis;335;329;0;664;60.902
3537404;2021;Pereira Barreto;121;122;0;243;25.411
3537503;2021;Pereiras;42;49;0;91;8.507
3537602;2021;Peruíbe;461;449;0;910;66.747
3537701;2021;Piacatu;28;24;0;52;5.936
3537800;2021;Piedade;319;321;0;640;53.656
3537909;2021;Pilar do Sul;206;194;0;400;28.355
3538006;2021;Pindamonhangaba;1.075;1.051;1;2.127;164.753
3538105;2021;Pindorama;74;67;0;141;16.331
3538204;2021;Pinhalzinho;70;78;0;148;14.877
3538303;2021;Piquerobi;22;14;0;36;3.532
3538501;2021;Piquete;61;57;0;118;13.621
